Lot Num,Artist Name,Year Of Artwork,Genre,Real Price Usd,Event Date,country,TotalSales
464910,Ai Weiwei,2004,Sculpture,"162,293",3/31/2006,UK,1
493949,Ai Weiwei,null,Photographs,"9,633",6/29/2006,France,1
510067,Ai Weiwei,2006,Sculpture,"106,772",9/20/2006,UK,1
510068,Ai Weiwei,1997,Sculpture,"51,250",9/20/2006,UK,1
3295772,Ai Weiwei,2002,Sculpture,"8,115",11/17/2006,UK,1
3334863,Ai Weiwei,1994,Photographs,"17,441",3/21/2007,UK,1
3404042,Ai Weiwei,1000,Sculpture,"63,041",6/22/2007,Hong Kong,1
3427896,Ai Weiwei,null,Sculpture,"456,791",9/20/2007,UK,1
3427897,Ai Weiwei,null,Sculpture,"9,136",9/20/2007,UK,1
3427898,Ai Weiwei,null,Sculpture,"33,221",9/20/2007,UK,1
3464235,Ai Weiwei,1997,Photographs,"54,222",2/28/2008,Hong Kong,1
3483427,Ai Weiwei,2007,Sculpture,"192,766",3/17/2008,UK,1
3483429,Ai Weiwei,2006,Photographs,"115,979",3/17/2008,UK,1
3483440,Ai Weiwei,2006,Sculpture,"67,988",3/17/2008,UK,1
3483442,Ai Weiwei,2006,Sculpture,"37,273",3/17/2008,UK,1
3512986,Ai Weiwei,2007,Photographs,null,2/12/2009,Hong Kong,1
3544339,Ai Weiwei,2005,Sculpture,"101,481",4/6/2009,China,1
3544340,Ai Weiwei,2006,Sculpture,"176,039",4/6/2009,China,1
3580346,Ai Weiwei,2006,Sculpture,"119,637",6/25/2009,Hong Kong,1
3580479,Ai Weiwei,2002,Sculpture,"41,381",6/26/2009,Hong Kong,1
3624927,Ai Weiwei,2008,Sculpture,"126,777",9/17/2008,UK,1
3624928,Ai Weiwei,1985,Paintings,"34,994",9/17/2008,UK,1
3624929,Ai Weiwei,1983,Paintings,"78,786",9/17/2008,UK,1
3626889,Ai Weiwei,2005,Sculpture,"89,960",7/2/2008,Hong Kong,1
3641965,Ai Weiwei,2002,Sculpture,"59,309",6/30/2008,Hong Kong,1
3644140,Ai Weiwei,1995,Photographs,"68,165",10/18/2008,Hong Kong,1
3644141,Ai Weiwei,2005,Sculpture,"101,383",10/18/2008,Hong Kong,1
3651864,Ai Weiwei,1995,Photographs,"99,363",4/9/2008,China,1
3672349,Ai Weiwei,1997,Sculpture,"111,488",10/13/2007,Hong Kong,1
3697912,Ai Weiwei,2002,Sculpture,"31,073",10/6/2009,China,1
3756837,Ai Weiwei,1999,Photographs,"70,595",11/16/2007,UK,1
3897903,Ai Weiwei,1995,Photographs,"142,889",2/12/2010,Hong Kong,1
3898087,Ai Weiwei,2007,Sculpture,"120,572",2/12/2010,Hong Kong,1
3944131,Ai Weiwei,2005,Sculpture,"172,923",4/5/2010,China,1
3986481,Ai Weiwei,2006,Sculpture,"139,958",4/23/2010,Hong Kong,1
4038434,Ai Weiwei,2006,Sculpture,"80,553",7/1/2010,Hong Kong,1
4108507,Ai Weiwei,2002,Sculpture,"31,574",10/15/2010,Hong Kong,1
4209373,Ai Weiwei,2010,Sculpture,"431,545",2/15/2011,Hong Kong,1
4266895,Ai Weiwei,1999,Photographs,"7,164",12/7/2008,France,1
4288058,Ai Weiwei,null,Sculpture,"66,378",12/4/2010,France,1
4288059,Ai Weiwei,null,Sculpture,"11,948",12/4/2010,France,1
4341767,Ai Weiwei,2006,Sculpture,"122,247",6/26/2011,France,1
4341772,Ai Weiwei,2009,Sculpture,"12,225",6/26/2011,France,1
4342933,Ai Weiwei,null,Works on Paper,"11,197",5/24/2009,France,1
4376966,Ai Weiwei,2006,Photographs,"182,044",4/14/2011,Hong Kong,1
4423017,Ai Weiwei,2009,Sculpture,"48,003",10/14/2011,Hong Kong,1
4423018,Ai Weiwei,2002,Sculpture,"74,153",10/14/2011,Hong Kong,1
4425567,Ai Weiwei,2002,Sculpture,null,10/13/2011,Hong Kong,1
4446148,Ai Weiwei,2006,Sculpture,"314,248",11/10/2011,UK,1
4551613,Ai Weiwei,2009,Sculpture,"20,627",3/7/2012,UK,1
4589817,Ai Weiwei,2007,Sculpture,"177,390",5/9/2012,UK,1
4592642,Ai Weiwei,2008,Sculpture,"586,925",5/9/2012,UK,1
4606565,Ai Weiwei,2006,Sculpture,"82,882",5/10/2012,UK,1
4640887,Ai Weiwei,2006,Sculpture,"106,669",6/27/2012,Hong Kong,1
4643880,Ai Weiwei,2008,Sculpture,"106,326",6/28/2012,Hong Kong,1
4727496,Ai Weiwei,2007,Sculpture,"8,130",6/23/2012,France,1
4752047,Ai Weiwei,2008,Sculpture,"507,123",10/11/2012,Hong Kong,1
4752739,Ai Weiwei,2007,Sculpture,"117,257",10/12/2012,Hong Kong,1
4755412,Ai Weiwei,2006,Sculpture,null,10/13/2012,Hong Kong,1
4771672,Ai Weiwei,2009,Sculpture,"18,752",11/14/2012,UK,1
4780160,Ai Weiwei,2008,Sculpture,"154,888",11/15/2012,UK,1
4843046,Ai Weiwei,2007,Sculpture,"45,543",2/13/2013,Hong Kong,1
4904377,Ai Weiwei,2008,Sculpture,null,4/22/2013,Qatar,1
4957189,Ai Weiwei,2006,Sculpture,"198,843",5/15/2013,UK,1
